Accession,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
AIE53115.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,3,,PA-X protein,Chile: Providencia,Chile,,Homo sapiens,,2012-12-27,,PA-X protein [Influenza A virus (A/Santiago/p38-2012d1/2012(H3N2))]
AIE53116.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H3N2,3,,polymerase PA,Chile: Providencia,Chile,,Homo sapiens,,2012-12-27,,polymerase PA [Influenza A virus (A/Santiago/p38-2012d1/2012(H3N2))]
AIE53117.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H3N2,2,,polymerase PB1,Chile: Providencia,Chile,,Homo sapiens,,2012-12-27,,polymerase PB1 [Influenza A virus (A/Santiago/p38-2012d1/2012(H3N2))]
AIE53118.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,GenBank,complete,H3N2,2,,PB1-F2 protein,Chile: Providencia,Chile,,Homo sapiens,,2012-12-27,,PB1-F2 protein [Influenza A virus (A/Santiago/p38-2012d1/2012(H3N2))]
AIE53119.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H3N2,1,,polymerase PB2,Chile: Providencia,Chile,,Homo sapiens,,2012-12-27,,polymerase PB2 [Influenza A virus (A/Santiago/p38-2012d1/2012(H3N2))]
AIE53120.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H3N2,4,,hemagglutinin,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,hemagglutinin [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53121.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,7,,matrix protein 1,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,matrix protein 1 [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53122.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H3N2,7,,matrix protein 2,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,matrix protein 2 [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53123.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,neuraminidase [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53124.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H3N2,5,,nucleocapsid protein,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,nucleocapsid protein [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53125.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),230,GenBank,complete,H3N2,8,,nonstructural protein 1,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,nonstructural protein 1 [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53126.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H3N2,8,,nuclear export protein,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,nuclear export protein [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53127.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,3,,PA-X protein,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,PA-X protein [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53128.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H3N2,3,,polymerase PA,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,polymerase PA [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53129.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H3N2,2,,polymerase PB1,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,polymerase PB1 [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53130.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,GenBank,complete,H3N2,2,,PB1-F2 protein,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,PB1-F2 protein [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53131.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H3N2,1,,polymerase PB2,Chile: Santiago,Chile,,Homo sapiens,,2012-11-08,,polymerase PB2 [Influenza A virus (A/Santiago/op20d1/2012(H3N2))]
AIE53132.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H3N2,4,,hemagglutinin,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,hemagglutinin [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53133.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,7,,matrix protein 1,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,matrix protein 1 [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53134.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H3N2,7,,matrix protein 2,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,matrix protein 2 [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53135.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H3N2,6,,neuraminidase,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,neuraminidase [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53136.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H3N2,5,,nucleocapsid protein,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,nucleocapsid protein [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53137.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),230,GenBank,complete,H3N2,8,,nonstructural protein 1,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,nonstructural protein 1 [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53138.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H3N2,8,,nuclear export protein,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,nuclear export protein [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53139.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H3N2,3,,PA-X protein,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,PA-X protein [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53140.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H3N2,3,,polymerase PA,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,polymerase PA [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53141.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,GenBank,complete,H3N2,2,,polymerase PB1,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,polymerase PB1 [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53142.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,GenBank,complete,H3N2,1,,polymerase PB2,Chile: Santiago,Chile,,Homo sapiens,,2012-06-23,,polymerase PB2 [Influenza A virus (A/Santiago/p5d3/2012(H3N2))]
AIE53143.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),566,GenBank,complete,H1N1,4,,hemagglutinin,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,hemagglutinin [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53144.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,GenBank,complete,H1N1,7,,matrix protein 1,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,matrix protein 1 [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53145.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,GenBank,complete,H1N1,7,,matrix protein 2,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,matrix protein 2 [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53146.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,GenBank,complete,H1N1,6,,neuraminidase,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,neuraminidase [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53147.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,GenBank,complete,H1N1,5,,nucleocapsid protein,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,nucleocapsid protein [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53148.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),219,GenBank,complete,H1N1,8,,nonstructural protein 1,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,nonstructural protein 1 [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53149.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,GenBank,complete,H1N1,8,,nuclear export protein,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,nuclear export protein [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53150.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),232,GenBank,complete,H1N1,3,,PA-X protein,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,PA-X protein [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
AIE53151.1,,"Wentworth,D.E., Halpin,R.A., Bera,J., Akopov,A., Mohan,M., Fedorova,N., Tsitrin,T., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Medina,R.A., Ferres,M., Barrera,A., Budnik,I., Marco,C., Martinez-Valdebenito,C., Aravena,M., Gutierrez,C., Perez,R., Contreras,A., Garcia-Sastre,A.",2014-07-13T00:00:00Z,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,GenBank,complete,H1N1,3,,polymerase PA,Chile: Santiago,Chile,,Homo sapiens,,2011-08-01,,polymerase PA [Influenza A virus (A/Santiago/p21d1/2011(H1N1))]
