accession,release_date,length,genotype,segment,protein,geo_location,country,collection_date,genbank_title
AIE53213.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: Puente Alto,Chile,7/15/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53214.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: Puente Alto,Chile,7/15/2013,nuclear export protein [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53215.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: Puente Alto,Chile,7/15/2013,PA-X protein [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53216.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: Puente Alto,Chile,7/15/2013,polymerase PA [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53217.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: Puente Alto,Chile,7/15/2013,polymerase PB1 [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53218.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,Chile: Puente Alto,Chile,7/15/2013,PB1-F2 protein [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53219.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: Puente Alto,Chile,7/15/2013,polymerase PB2 [Influenza A virus (A/Santiago/p27d3/2013(H3N2))]
AIE53220.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Santiago,Chile,8/2/2011,hemagglutinin [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53221.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Santiago,Chile,8/2/2011,matrix protein 1 [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53222.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Santiago,Chile,8/2/2011,matrix protein 2 [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53223.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Santiago,Chile,8/2/2011,neuraminidase [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53224.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Santiago,Chile,8/2/2011,nucleocapsid protein [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53225.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Santiago,Chile,8/2/2011,nonstructural protein 1 [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53226.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Santiago,Chile,8/2/2011,nuclear export protein [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53227.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Santiago,Chile,8/2/2011,PA-X protein [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53228.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Santiago,Chile,8/2/2011,polymerase PA [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53229.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Santiago,Chile,8/2/2011,polymerase PB1 [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53230.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Santiago,Chile,8/2/2011,polymerase PB2 [Influenza A virus (A/Santiago/p21d2/2011(H1N1))]
AIE53232.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: Santiago,Chile,5/17/2012,matrix protein 1 [Influenza A virus (A/Santiago/op18d7/2012(H3N2))]
AIE53233.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: Santiago,Chile,5/17/2012,matrix protein 2 [Influenza A virus (A/Santiago/op18d7/2012(H3N2))]
AIE53236.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Chile: Santiago,Chile,6/28/2012,hemagglutinin [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53237.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: Santiago,Chile,6/28/2012,matrix protein 1 [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53238.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: Santiago,Chile,6/28/2012,matrix protein 2 [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53239.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Chile: Santiago,Chile,6/28/2012,neuraminidase [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53240.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Chile: Santiago,Chile,6/28/2012,nucleocapsid protein [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53241.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: Santiago,Chile,6/28/2012,nonstructural protein 1 [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53242.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: Santiago,Chile,6/28/2012,nuclear export protein [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53243.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: Santiago,Chile,6/28/2012,PA-X protein [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53244.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: Santiago,Chile,6/28/2012,polymerase PA [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53245.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: Santiago,Chile,6/28/2012,polymerase PB1 [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53246.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: Santiago,Chile,6/28/2012,polymerase PB2 [Influenza A virus (A/Santiago/op7d1/2012(H3N2))]
AIE53247.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Chile: La Florida,Chile,8/8/2013,hemagglutinin [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53248.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: La Florida,Chile,8/8/2013,matrix protein 1 [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53249.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: La Florida,Chile,8/8/2013,matrix protein 2 [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53250.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Chile: La Florida,Chile,8/8/2013,neuraminidase [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53251.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Chile: La Florida,Chile,8/8/2013,nucleocapsid protein [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53252.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: La Florida,Chile,8/8/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53253.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: La Florida,Chile,8/8/2013,nuclear export protein [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53254.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: La Florida,Chile,8/8/2013,PA-X protein [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53255.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: La Florida,Chile,8/8/2013,polymerase PA [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53256.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: La Florida,Chile,8/8/2013,polymerase PB1 [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53257.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,Chile: La Florida,Chile,8/8/2013,PB1-F2 protein [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53258.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: La Florida,Chile,8/8/2013,polymerase PB2 [Influenza A virus (A/Santiago/p34d1/2013(H3N2))]
AIE53259.1,2014-07-13T00:00:00Z,252,,7,matrix protein 1,Chile: Lo Barnechea,Chile,3/22/2013,matrix protein 1 [Influenza A virus (A/Santiago/p7d1/2013)]
AIE53260.1,2014-07-13T00:00:00Z,97,,7,matrix protein 2,Chile: Lo Barnechea,Chile,3/22/2013,matrix protein 2 [Influenza A virus (A/Santiago/p7d1/2013)]
AIE53261.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Puerto Montt,Chile,6/13/2013,hemagglutinin [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53262.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Puerto Montt,Chile,6/13/2013,matrix protein 1 [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53263.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Puerto Montt,Chile,6/13/2013,matrix protein 2 [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53264.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Puerto Montt,Chile,6/13/2013,neuraminidase [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53265.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Puerto Montt,Chile,6/13/2013,nucleocapsid protein [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53266.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Puerto Montt,Chile,6/13/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53267.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Puerto Montt,Chile,6/13/2013,nuclear export protein [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53268.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Puerto Montt,Chile,6/13/2013,PA-X protein [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53269.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Puerto Montt,Chile,6/13/2013,polymerase PA [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53270.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Puerto Montt,Chile,6/13/2013,polymerase PB1 [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53271.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Puerto Montt,Chile,6/13/2013,polymerase PB2 [Influenza A virus (A/Santiago/p13d2/2013(H1N1))]
AIE53272.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Santiago,Chile,8/3/2011,hemagglutinin [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53273.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Santiago,Chile,8/3/2011,matrix protein 1 [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53274.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Santiago,Chile,8/3/2011,matrix protein 2 [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53275.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Santiago,Chile,8/3/2011,neuraminidase [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53276.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Santiago,Chile,8/3/2011,nucleocapsid protein [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53277.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Santiago,Chile,8/3/2011,nonstructural protein 1 [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53278.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Santiago,Chile,8/3/2011,nuclear export protein [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53279.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Santiago,Chile,8/3/2011,PA-X protein [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53280.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Santiago,Chile,8/3/2011,polymerase PA [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53281.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Santiago,Chile,8/3/2011,polymerase PB1 [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53282.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Santiago,Chile,8/3/2011,polymerase PB2 [Influenza A virus (A/Santiago/p21d3/2011(H1N1))]
AIE53283.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Chile: La Florida,Chile,9/2/2013,hemagglutinin [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53284.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: La Florida,Chile,9/2/2013,matrix protein 1 [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53285.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: La Florida,Chile,9/2/2013,matrix protein 2 [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53286.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Chile: La Florida,Chile,9/2/2013,neuraminidase [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53287.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Chile: La Florida,Chile,9/2/2013,nucleocapsid protein [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53288.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: La Florida,Chile,9/2/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53289.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: La Florida,Chile,9/2/2013,nuclear export protein [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53290.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: La Florida,Chile,9/2/2013,PA-X protein [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53291.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: La Florida,Chile,9/2/2013,polymerase PA [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53292.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: La Florida,Chile,9/2/2013,polymerase PB1 [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53293.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,Chile: La Florida,Chile,9/2/2013,PB1-F2 protein [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53294.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: La Florida,Chile,9/2/2013,polymerase PB2 [Influenza A virus (A/Santiago/p36d5/2013(H3N2))]
AIE53295.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Lo Prado,Chile,6/22/2013,hemagglutinin [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53296.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Lo Prado,Chile,6/22/2013,matrix protein 1 [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53297.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Lo Prado,Chile,6/22/2013,matrix protein 2 [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53298.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Lo Prado,Chile,6/22/2013,neuraminidase [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53299.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Lo Prado,Chile,6/22/2013,nucleocapsid protein [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53300.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Lo Prado,Chile,6/22/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53301.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Lo Prado,Chile,6/22/2013,nuclear export protein [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53302.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Lo Prado,Chile,6/22/2013,PA-X protein [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53303.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Lo Prado,Chile,6/22/2013,polymerase PA [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53304.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Lo Prado,Chile,6/22/2013,polymerase PB1 [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53305.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Lo Prado,Chile,6/22/2013,polymerase PB2 [Influenza A virus (A/Santiago/p20d2/2013(H1N1))]
AIE53306.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Lo Prado,Chile,6/21/2013,hemagglutinin [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53307.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Lo Prado,Chile,6/21/2013,matrix protein 1 [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53308.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Lo Prado,Chile,6/21/2013,matrix protein 2 [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53309.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Lo Prado,Chile,6/21/2013,neuraminidase [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53310.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Lo Prado,Chile,6/21/2013,nucleocapsid protein [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53311.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Lo Prado,Chile,6/21/2013,nonstructural protein 1 [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53312.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Lo Prado,Chile,6/21/2013,nuclear export protein [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53313.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Lo Prado,Chile,6/21/2013,PA-X protein [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53314.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Lo Prado,Chile,6/21/2013,polymerase PA [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53315.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Lo Prado,Chile,6/21/2013,polymerase PB1 [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53316.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Lo Prado,Chile,6/21/2013,polymerase PB2 [Influenza A virus (A/Santiago/p20d1/2013(H1N1))]
AIE53317.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Chile: Providencia,Chile,12/29/2012,hemagglutinin [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53318.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: Providencia,Chile,12/29/2012,matrix protein 1 [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53319.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: Providencia,Chile,12/29/2012,matrix protein 2 [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53320.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Chile: Providencia,Chile,12/29/2012,neuraminidase [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53321.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Chile: Providencia,Chile,12/29/2012,nucleocapsid protein [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53322.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: Providencia,Chile,12/29/2012,nonstructural protein 1 [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53323.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: Providencia,Chile,12/29/2012,nuclear export protein [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53324.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: Providencia,Chile,12/29/2012,PA-X protein [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53325.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: Providencia,Chile,12/29/2012,polymerase PA [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53326.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: Providencia,Chile,12/29/2012,polymerase PB1 [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53327.1,2014-07-13T00:00:00Z,90,H3N2,2,PB1-F2 protein,Chile: Providencia,Chile,12/29/2012,PB1-F2 protein [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53328.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: Providencia,Chile,12/29/2012,polymerase PB2 [Influenza A virus (A/Santiago/p38-2012d3/2012(H3N2))]
AIE53329.1,2014-07-13T00:00:00Z,566,H3N2,4,hemagglutinin,Chile: Santiago,Chile,6/1/2012,hemagglutinin [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53330.1,2014-07-13T00:00:00Z,252,H3N2,7,matrix protein 1,Chile: Santiago,Chile,6/1/2012,matrix protein 1 [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53331.1,2014-07-13T00:00:00Z,97,H3N2,7,matrix protein 2,Chile: Santiago,Chile,6/1/2012,matrix protein 2 [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53332.1,2014-07-13T00:00:00Z,469,H3N2,6,neuraminidase,Chile: Santiago,Chile,6/1/2012,neuraminidase [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53333.1,2014-07-13T00:00:00Z,498,H3N2,5,nucleocapsid protein,Chile: Santiago,Chile,6/1/2012,nucleocapsid protein [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53334.1,2014-07-13T00:00:00Z,230,H3N2,8,nonstructural protein 1,Chile: Santiago,Chile,6/1/2012,nonstructural protein 1 [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53335.1,2014-07-13T00:00:00Z,121,H3N2,8,nuclear export protein,Chile: Santiago,Chile,6/1/2012,nuclear export protein [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53336.1,2014-07-13T00:00:00Z,252,H3N2,3,PA-X protein,Chile: Santiago,Chile,6/1/2012,PA-X protein [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53337.1,2014-07-13T00:00:00Z,716,H3N2,3,polymerase PA,Chile: Santiago,Chile,6/1/2012,polymerase PA [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53338.1,2014-07-13T00:00:00Z,757,H3N2,2,polymerase PB1,Chile: Santiago,Chile,6/1/2012,polymerase PB1 [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53339.1,2014-07-13T00:00:00Z,759,H3N2,1,polymerase PB2,Chile: Santiago,Chile,6/1/2012,polymerase PB2 [Influenza A virus (A/Santiago/op17d0/2012(H3N2))]
AIE53341.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Maipu,Chile,8/3/2011,matrix protein 1 [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53342.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Maipu,Chile,8/3/2011,matrix protein 2 [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53343.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Maipu,Chile,8/3/2011,neuraminidase [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53344.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Maipu,Chile,8/3/2011,nucleocapsid protein [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53345.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Maipu,Chile,8/3/2011,nonstructural protein 1 [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53346.1,2014-07-13T00:00:00Z,121,H1N1,8,nuclear export protein,Chile: Maipu,Chile,8/3/2011,nuclear export protein [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53347.1,2014-07-13T00:00:00Z,232,H1N1,3,PA-X protein,Chile: Maipu,Chile,8/3/2011,PA-X protein [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53348.1,2014-07-13T00:00:00Z,716,H1N1,3,polymerase PA,Chile: Maipu,Chile,8/3/2011,polymerase PA [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53349.1,2014-07-13T00:00:00Z,757,H1N1,2,polymerase PB1,Chile: Maipu,Chile,8/3/2011,polymerase PB1 [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53350.1,2014-07-13T00:00:00Z,759,H1N1,1,polymerase PB2,Chile: Maipu,Chile,8/3/2011,polymerase PB2 [Influenza A virus (A/Santiago/p20d3/2011(H1N1))]
AIE53351.1,2014-07-13T00:00:00Z,566,H1N1,4,hemagglutinin,Chile: Maipu,Chile,8/2/2011,hemagglutinin [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
AIE53352.1,2014-07-13T00:00:00Z,252,H1N1,7,matrix protein 1,Chile: Maipu,Chile,8/2/2011,matrix protein 1 [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
AIE53353.1,2014-07-13T00:00:00Z,97,H1N1,7,matrix protein 2,Chile: Maipu,Chile,8/2/2011,matrix protein 2 [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
AIE53354.1,2014-07-13T00:00:00Z,469,H1N1,6,neuraminidase,Chile: Maipu,Chile,8/2/2011,neuraminidase [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
AIE53355.1,2014-07-13T00:00:00Z,498,H1N1,5,nucleocapsid protein,Chile: Maipu,Chile,8/2/2011,nucleocapsid protein [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
AIE53356.1,2014-07-13T00:00:00Z,219,H1N1,8,nonstructural protein 1,Chile: Maipu,Chile,8/2/2011,nonstructural protein 1 [Influenza A virus (A/Santiago/p20d2/2011(H1N1))]
